,Quantity,Item_Name,Item_Price
0,1,Chips and Fresh Tomato Salsa,$2.39 
1,1,Izze,$3.39 
2,1,Nantucket Nectar,$3.39 
3,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
4,2,Chicken Bowl,$16.98 
5,1,Chicken Bowl,$10.98 
6,1,Side of Chips,$1.69 
7,1,Steak Burrito,$11.75 
8,1,Steak Soft Tacos,$9.25 
9,1,Steak Burrito,$9.25 
10,1,Chips and Guacamole,$4.45 
11,1,Chicken Crispy Tacos,$8.75 
12,1,Chicken Soft Tacos,$8.75 
13,1,Chicken Bowl,$11.25 
14,1,Chips and Guacamole,$4.45 
15,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
16,1,Chicken Burrito,$8.49 
17,1,Chicken Burrito,$8.49 
18,2,Canned Soda,$2.18 
19,1,Chicken Bowl,$8.75 
20,1,Chips and Guacamole,$4.45 
21,1,Barbacoa Burrito,$8.99 
22,1,Nantucket Nectar,$3.39 
23,1,Chicken Burrito,$10.98 
24,1,Izze,$3.39 
25,1,Chips and Fresh Tomato Salsa,$2.39 
26,1,Chicken Bowl,$8.49 
27,1,Carnitas Burrito,$8.99 
28,1,Canned Soda,$1.09 
29,1,Chicken Burrito,$8.49 
30,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
31,1,Steak Burrito,$8.99 
32,1,Side of Chips,$1.69 
33,1,Carnitas Bowl,$8.99 
34,1,Bottled Water,$1.09 
35,1,Chicken Soft Tacos,$8.75 
36,1,Chicken Soft Tacos,$8.75 
37,1,Chips and Guacamole,$4.45 
38,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
39,1,Barbacoa Bowl,$11.75 
40,1,Chips,$2.15 
41,1,Chips and Guacamole,$4.45 
42,1,Chicken Bowl,$11.25 
43,1,Steak Burrito,$11.75 
44,1,Chicken Salad Bowl,$8.75 
45,1,Chicken Burrito,$10.98 
46,1,Steak Burrito,$8.99 
47,1,Izze,$3.39 
48,1,Steak Burrito,$8.99 
49,1,Chips and Guacamole,$3.99 
50,1,Steak Burrito,$8.99 
51,2,Canned Soda,$2.18 
52,1,Chicken Burrito,$10.98 
53,1,Canned Soda,$1.09 
54,1,Steak Bowl,$8.99 
55,1,Chips and Fresh Tomato Salsa,$2.39 
56,1,Barbacoa Soft Tacos,$9.25 
57,1,Veggie Burrito,$11.25 
58,1,Barbacoa Bowl,$11.75 
59,1,Chips,$2.15 
60,1,Chips and Guacamole,$4.45 
61,1,Steak Soft Tacos,$9.25 
62,1,Veggie Bowl,$11.25 
63,1,Chicken Burrito,$8.75 
64,1,Steak Burrito,$8.99 
65,1,Steak Soft Tacos,$8.99 
66,1,Izze,$3.39 
67,1,Steak Burrito,$8.99 
68,1,Chicken Burrito,$10.98 
69,1,Steak Burrito,$8.99 
70,1,Side of Chips,$1.69 
71,1,Steak Burrito,$8.99 
72,1,Chips and Guacamole,$3.99 
73,1,Chicken Burrito,$8.75 
74,1,Chips and Guacamole,$4.45 
75,1,Chicken Soft Tacos,$8.75 
76,1,Chicken Bowl,$8.75 
77,1,Chips,$2.15 
78,1,Chicken Bowl,$8.75 
79,1,Chicken Soft Tacos,$11.25 
80,1,Chips,$2.15 
81,1,Barbacoa Burrito,$9.25 
82,1,Chicken Burrito,$8.75 
83,1,Chicken Burrito,$8.75 
84,1,Steak Soft Tacos,$9.25 
85,1,Veggie Bowl,$8.49 
86,1,Steak Bowl,$8.99 
87,1,Bottled Water,$1.09 
88,1,Carnitas Burrito,$9.25 
89,1,Chips and Fresh Tomato Salsa,$2.95 
90,1,Steak Bowl,$11.75 
91,1,Steak Bowl,$11.75 
92,1,Steak Crispy Tacos,$9.25 
93,1,Carnitas Burrito,$11.75 
94,1,Chips and Guacamole,$4.45 
95,1,Barbacoa Bowl,$9.25 
96,1,Chips and Guacamole,$4.45 
97,1,Carnitas Bowl,$11.75 
98,1,Chicken Burrito,$8.75 
99,1,Chicken Bowl,$8.75 
100,1,Chips and Guacamole,$4.45 
101,1,Steak Burrito,$8.99 
102,1,Steak Bowl,$8.99 
103,1,Chips and Guacamole,$3.99 
104,1,Veggie Burrito,$8.49 
105,1,Nantucket Nectar,$3.39 
106,1,Steak Burrito,$8.99 
107,1,Canned Soda,$1.09 
108,1,Steak Burrito,$9.25 
109,1,Chips and Guacamole,$4.45 
110,1,Chicken Bowl,$8.75 
111,1,Chips and Tomatillo-Red Chili Salsa,$2.95 
112,1,Chips and Guacamole,$4.45 
113,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
114,1,Chicken Burrito,$8.49 
115,1,Barbacoa Bowl,$8.99 
116,1,Chicken Burrito,$8.49 
117,1,Canned Soda,$1.09 
118,1,Steak Soft Tacos,$8.99 
119,1,Chips and Guacamole,$3.99 
120,1,Chicken Burrito,$8.75 
121,1,Barbacoa Burrito,$9.25 
122,1,Chips and Guacamole,$4.45 
123,1,Chicken Bowl,$11.25 
124,1,Chips and Guacamole,$4.45 
125,1,Steak Burrito,$8.99 
126,1,Canned Soda,$1.09 
127,1,Barbacoa Bowl,$9.25 
128,1,Chips and Tomatillo-Red Chili Salsa,$2.95 
129,1,Chips and Guacamole,$4.45 
130,1,Barbacoa Burrito,$11.75 
131,1,Chips and Guacamole,$4.45 
132,1,Chicken Burrito,$8.49 
133,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
134,1,Chicken Burrito,$10.98 
135,2,Chicken Salad Bowl,$22.50 
136,1,Barbacoa Bowl,$11.75 
137,1,Chips and Guacamole,$4.45 
138,1,Chicken Bowl,$11.25 
139,1,Chips and Guacamole,$4.45 
140,1,Chicken Bowl,$11.25 
141,1,Chips and Guacamole,$4.45 
142,1,Chicken Bowl,$11.25 
143,1,Veggie Bowl,$11.25 
144,1,Barbacoa Burrito,$11.75 
145,1,Carnitas Bowl,$9.25 
146,1,Chips and Guacamole,$4.45 
147,1,Steak Burrito,$11.48 
148,2,Steak Burrito,$17.98 
149,1,Side of Chips,$1.69 
150,2,Chicken Burrito,$17.50 
151,1,Chips and Guacamole,$4.45 
152,1,Chicken Burrito,$8.49 
153,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
154,2,Chicken Bowl,$17.50 
155,1,Chips and Guacamole,$4.45 
